Name,overall,position,age,height,weight,intl_rep,pace,dribbling,shooting,passing,defending,physicality,pref_foot
David Abraham,79,CB,32,188,83,2,80,54,56,61,79,77,Right
Winston Reid,79,CB,30,190,87,2,69,52,52,49,80,80,Right
Marcelo Ant?¥nio Guedes Filho,79,CB,31,191,85,2,66,62,48,55,79,82,Right
Kyriakos Papadopoulos,79,CB,26,185,87,2,62,49,42,49,78,83,Right
Eliaquim Mangala,79,CB,27,187,84,2,70,52,42,55,79,85,Left
Jeffrey Bruma,79,CB,26,190,88,2,65,60,53,63,78,82,Right
Lorenzo Tonelli,79,CB,28,183,78,2,74,60,31,44,82,75,Right
Jeison Murillo,79,CB,26,182,78,2,75,64,40,56,80,77,Right
Salif San?©,79,CB,28,196,85,2,65,66,48,62,78,81,Right
John Stones,79,CB,24,188,75,2,71,71,35,67,80,77,Right
Kurt Zouma,79,CB,23,190,96,2,67,56,50,58,79,83,Right
Alessio Romagnoli,79,CB,23,185,75,2,66,64,34,52,81,76,Left
Nikola Maksimoviƒá,79,CB,26,193,82,2,65,55,28,47,82,78,Right
Bruno Eduardo Regufe Alves,78,CB,36,189,81,2,56,69,69,68,75,85,Right
Kara Mbodj,78,CB,28,192,95,2,74,63,56,52,76,88,Right
Jelle Van Damme,77,CB,34,191,90,2,64,64,61,67,72,92,Left
Mart??n C?°ceres,77,CB,31,180,78,2,74,65,51,63,79,75,Right
Florentin Pogba,77,CB,28,189,93,2,66,57,45,61,76,85,Left
Juan Guilherme Nunes Jesus,77,CB,27,185,76,2,79,60,33,53,77,83,Left
Nicolas Pallois,76,CB,31,188,90,2,58,59,50,60,75,83,Left
Christopher Jullien,76,CB,25,196,88,2,69,57,45,46,74,80,Right
Sebastian De Maio,76,CB,31,190,90,2,66,48,31,36,77,83,Right
Maxime Le Marchand,76,CB,28,185,77,2,76,66,38,67,75,78,Left
Vitorino Hilton da Silva,82,CB,41,180,78,2,45,73,56,75,85,78,Right
Davinson S?°nchez,81,CB,22,187,79,2,71,60,47,50,81,83,Right
Matthias Ginter,82,CB,24,188,83,2,69,71,65,78,83,80,Right
Maicon Pereira Roque,83,CB,30,191,89,2,63,60,60,70,85,85,Right
Andreas Granqvist,83,CB,33,192,84,2,51,58,67,65,85,81,Right
Alexey Berezutskiy,82,CB,36,190,87,2,52,57,58,73,83,81,Left
Jelle Van Damme,85,CB,34,191,90,2,72,68,70,73,82,94,Left
Vitorino Hilton da Silva,84,CB,41,180,78,2,48,77,60,79,87,80,Right
Rafael Tol??i,82,CB,27,185,75,2,65,68,53,60,84,79,Right
Nenad Tomovic,81,CB,31,184,81,2,75,73,46,68,83,83,Right
Andreas Granqvist,85,CB,33,192,84,2,54,62,70,70,87,83,Right
Matthias Ginter,84,CB,24,188,83,2,71,73,68,81,85,82,Right
Kyriakos Papadopoulos,82,CB,26,185,87,2,67,53,47,55,83,85,Right
John Stones,82,CB,24,188,75,2,74,76,40,75,84,80,Right
Jos?© Ignacio Fern?°ndez Iglesias,84,CB,28,179,75,2,78,68,42,70,84,81,Right
Winston Reid,82,CB,30,190,87,2,72,56,57,55,83,83,Right
Marcelo Ant?¥nio Guedes Filho,83,CB,31,191,85,2,70,66,53,66,84,87,Right
Phil Jagielka,83,CB,36,180,87,2,55,60,51,62,86,83,Right
Leander Dendoncker,82,CB,23,189,88,2,73,73,75,81,83,87,Right
Dejan Lovren,84,CB,29,188,84,2,60,68,45,65,86,86,Right
Jonny Evans,82,CB,30,188,77,2,69,62,36,65,85,78,Right
Martin Hinteregger,81,CB,26,185,86,2,72,64,68,72,84,85,Left
Jos?© Ignacio Fern?°ndez Iglesias,86,CB,28,179,75,2,80,72,47,74,88,84,Right
Romain Thomas,83,CB,30,193,84,2,58,52,40,62,84,81,Left
Matthias Ginter,86,CB,24,188,83,2,73,74,71,83,87,84,Right
Aymeric Laporte,84,CB,24,189,85,2,69,62,50,66,86,78,Left
I?±igo Mart??nez Berridi,82,CB,27,181,77,2,71,62,56,63,82,79,Left
Aymeric Laporte,84,CB,24,189,85,2,69,62,50,66,86,78,Left
Eliaquim Mangala,79,CB,27,187,84,2,70,52,42,55,79,85,Left
Nikola Maksimovic,79,CB,26,193,82,2,65,55,28,47,82,78,Right
Florentin Pogba,77,CB,28,189,93,2,66,57,45,61,76,85,Left
Jardel Nivaldo Vieira,83,CB,32,192,87,2,63,55,48,60,85,84,Right
Florian Lejeune,82,CB,27,190,81,2,52,65,60,64,84,87,Right
Andreas Christensen,82,CB,22,188,78,2,72,70,31,63,84,72,Right
John Stones,80,CB,24,188,75,2,71,71,35,70,81,78,Right
Marcelo Ant?¥nio Guedes Filho,81,CB,31,191,85,2,66,62,48,61,80,85,Right
Alessio Romagnoli,82,CB,23,185,75,2,69,67,38,56,85,80,Left
Niklas S?ºle,84,CB,23,195,97,2,67,51,42,52,85,82,Right
Osama Hawsawi,75,CB,34,185,75,2,72,58,57,53,74,82,Right
Roman Neust?§dter,75,CB,30,188,81,2,48,65,52,66,76,73,Right
Isma?´l Traor?©,81,CB,32,184,87,2,63,58,42,64,82,84,Right
Jonathan Tah,84,CB,22,192,92,2,74,60,29,65,85,81,Right
Cheikhou Kouyat?©,81,CB,28,189,83,2,83,70,66,68,80,90,Right
Sead Kola?°inac,84,CB,25,183,85,2,82,68,60,72,82,91,Left
James Tomkins,81,CB,29,192,74,2,57,61,40,60,85,82,Right
Jannik Vestergaard,82,CB,26,199,98,2,50,56,53,66,83,84,Right
Marcelo Ant?¥nio Guedes Filho,85,CB,31,191,85,2,72,68,58,68,87,89,Right
Gabriel Armando de Abreu,82,CB,27,187,72,2,69,67,52,69,85,79,Right
Phil Jones,81,CB,26,185,71,2,63,63,56,65,81,81,Right
Niklas S?ºle,91,CB,23,195,97,2,72,68,60,77,92,87,Right
Rolando Jorge Pires da Fonseca,81,CB,33,189,77,2,42,62,51,67,84,82,Right
Salif San?©,82,CB,28,196,85,2,68,71,50,72,84,84,Right
Yaroslav Rakitskyi,83,CB,29,180,70,2,75,77,75,82,86,81,Left
Salif San?©,91,CB,28,196,85,2,76,83,60,82,92,91,Right
Maicon Pereira Roque,90,CB,30,191,89,2,70,70,73,80,92,91,Right
Andrea Masiello,89,CB,32,184,82,2,73,70,50,67,92,84,Right
Presnel Kimpembe,91,CB,23,183,71,2,78,77,50,70,93,85,Left
Marcelo Ant?¥nio Guedes Filho,90,CB,31,191,85,2,79,76,65,76,91,92,Right
Christopher Jullien,81,CB,25,196,88,2,74,62,60,54,82,85,Right
Andreas Christensen,84,CB,22,188,78,2,74,75,38,71,87,74,Right
Victor Lindel??f,82,CB,24,187,80,2,73,68,52,70,84,82,Right
Joel Matip,85,CB,27,195,90,2,69,72,51,75,88,80,Right
Andreas Granqvist,90,CB,33,192,84,2,70,70,75,75,91,87,Right
Jos?© Mar??a Gim?©nez,89,CB,23,185,76,2,75,66,54,65,90,86,Right
John Stones,89,CB,24,188,75,2,82,86,52,93,94,89,Right
Andreas Granqvist,91,CB,33,192,84,2,72,76,77,77,93,89,Right
Andreas Granqvist,92,CB,33,192,84,2,74,81,79,83,95,91,Right
Andreas Granqvist,94,CB,33,192,84,2,77,85,82,86,97,93,Right
Kurt Zouma,79,CB,23,190,96,2,67,56,50,58,79,83,Right
Salif San?©,79,CB,28,196,85,2,65,66,48,62,78,81,Right
Presnel Kimpembe,93,CB,23,183,71,2,80,82,56,75,95,88,Left
Francesco Acerbi,82,CB,30,192,88,2,62,59,50,58,85,77,Left
Bruno Eduardo Regufe Alves,78,CB,36,189,81,2,56,69,69,68,75,85,Right
Eric Bailly,84,CB,24,187,77,2,78,66,42,59,84,84,Right
Kurt Zouma,79,CB,23,190,96,2,67,56,50,58,79,83,Right
Leander Dendoncker,79,CB,23,189,88,2,68,69,71,76,77,83,Right
Matthias Ginter,87,CB,24,188,83,2,75,77,75,87,89,86,Right
Stefan Saviƒá,84,CB,27,187,79,2,68,62,40,57,86,78,Right
Fabian Sch?§r,82,CB,26,186,84,2,63,74,73,80,85,83,Right
Rio Ferdinand,90,CB,39,189,87,3,83,65,49,67,91,86,Right
Diego God??n,88,CB,32,186,78,3,65,64,48,65,88,78,Right
Leonardo Bonucci,88,CB,31,190,85,3,68,71,54,70,87,81,Right
Rio Ferdinand,88,CB,39,189,87,3,80,64,48,65,89,82,Right
Jo?£o Miranda de Souza Filho,86,CB,34,186,78,3,71,68,49,60,88,77,Right
Sokratis Papastathopoulos,86,CB,30,186,85,3,78,61,52,55,87,84,Right
Javier Mart??nez Aginaga,86,CB,30,190,81,3,50,66,60,69,86,80,Right
Toby Alderweireld,86,CB,29,187,91,3,66,66,58,72,87,80,Right
Shkodran Mustafi,86,CB,26,184,82,3,70,65,61,66,86,82,Right
Andrea Barzagli,85,CB,37,187,87,3,71,65,34,57,88,73,Right
Jan Vertonghen,85,CB,31,189,88,3,67,70,65,72,85,81,Left
C?©sar Azpilicueta Tanco,85,CB,29,178,78,3,79,74,55,74,86,78,Right
Rapha?´l Varane,85,CB,25,191,78,3,79,65,45,61,84,79,Right
Rio Ferdinand,85,CB,39,189,87,3,84,70,48,65,84,83,Right
Gary Cahill,84,CB,32,193,86,3,63,62,58,52,84,78,Right
Laurent Koscielny,84,CB,33,186,75,3,75,66,41,62,85,78,Right
Medhi Benatia,84,CB,31,190,92,3,74,65,42,54,85,82,Right
Shkodran Mustafi,84,CB,26,184,82,3,67,63,57,63,83,79,Right
Kostas Manolas,84,CB,27,189,83,3,80,61,19,42,86,83,Right
Kalidou Koulibaly,84,CB,27,195,89,3,73,57,26,43,85,86,Right
Benedikt H??wedes,83,CB,30,187,82,3,64,65,47,63,83,77,Right
?ñmer Toprak,83,CB,29,186,83,3,76,68,39,62,85,75,Right
Mateo Musacchio,83,CB,28,180,73,3,70,59,51,66,84,78,Right
Nicol?°s Otamendi,83,CB,30,183,81,3,63,56,56,59,83,81,Right
Stefan de Vrij,83,CB,26,189,78,3,68,66,41,58,85,76,Right
Virgil van Dijk,83,CB,27,193,92,3,73,70,60,67,83,85,Right
Samuel Umtiti,83,CB,24,182,75,3,74,71,64,71,82,79,Left
Marcos Aoas Corr?™a,83,CB,24,183,75,3,71,70,38,68,84,76,Right
Ra??l Albiol Tortajada,82,CB,33,190,82,3,57,60,41,57,84,76,Right
Ronaldo Aparecido Rodrigues,82,CB,36,198,91,3,69,62,69,63,84,73,Right
Branislav Ivanoviƒá,82,CB,34,185,91,3,62,62,61,68,83,83,Right
Vedran ƒÜorluka,82,CB,32,192,84,3,58,67,51,67,82,82,Right
Marcos Rojo,82,CB,28,187,80,3,71,68,59,69,80,83,Left
Felipe Augusto de Almeida Monteiro,82,CB,29,185,77,3,68,62,41,59,82,81,Right
Martin ?†krtel,81,CB,33,191,81,3,61,53,38,51,82,81,Right
Adil Rami,81,CB,32,190,90,3,53,59,54,48,81,82,Right
Mamadou Sakho,81,CB,28,187,83,3,61,57,33,62,80,85,Left
Chris Smalling,81,CB,28,194,81,3,72,60,46,56,81,83,Right
Sebasti?°n Coates,81,CB,27,196,92,3,58,60,40,53,80,86,Right
Marc Bartra Aregall,81,CB,27,184,73,3,77,74,52,70,82,71,Right
J?©r?©my Mathieu,80,CB,34,189,84,3,72,61,62,67,80,83,Left
C?©sar Azpilicueta Tanco,87,CB,29,178,78,3,81,75,56,80,88,81,Right
Leonardo Bonucci,88,CB,31,190,85,3,68,71,54,70,87,81,Right
Mamadou Sakho,88,CB,28,187,83,3,75,63,43,74,83,90,Left
Marc Bartra Aregall,88,CB,27,184,73,3,82,80,60,80,87,81,Right
Nicol?°s Otamendi,86,CB,30,183,81,3,65,60,62,65,88,84,Right
Rapha?´l Varane,93,CB,25,191,78,3,88,85,65,80,95,89,Right
Benedikt H??wedes,83,CB,30,187,82,3,64,65,47,63,83,77,Right
Marcos Aoas Corr?™a,84,CB,24,183,75,3,76,70,38,69,85,76,Right
Medhi Benatia,86,CB,31,190,92,3,76,68,45,60,87,84,Right
Shkodran Mustafi,87,CB,26,184,82,3,71,66,63,70,87,84,Right
Dante Bonfim Costa Santos,84,CB,34,188,85,3,49,68,56,71,86,81,Left
Stefan de Vrij,85,CB,26,189,78,3,70,68,46,62,87,79,Right
Nicol?°s Otamendi,87,CB,30,183,81,3,66,61,65,67,89,86,Right
C?©sar Azpilicueta Tanco,87,CB,29,178,78,3,80,76,56,78,89,82,Right
Kalidou Koulibaly,86,CB,27,195,89,3,75,60,30,48,87,88,Right
Virgil van Dijk,85,CB,27,193,92,3,75,72,65,72,85,87,Right
Ronaldo Aparecido Rodrigues,85,CB,36,198,91,3,71,65,75,69,87,79,Right
Laurent Koscielny,86,CB,33,186,75,3,77,68,44,68,87,81,Right
Medhi Benatia,87,CB,31,190,92,3,77,70,46,62,88,86,Right
Nicolas Nkoulou,82,CB,28,184,77,3,76,74,50,71,84,81,Right
Virgil van Dijk,83,CB,27,193,92,3,73,70,60,67,83,85,Right
Kalidou Koulibaly,86,CB,27,195,89,3,76,58,29,51,88,87,Right
Leonardo Bonucci,96,CB,31,190,85,3,80,80,72,92,97,96,Right
Ronaldo Aparecido Rodrigues,87,CB,36,198,91,3,73,68,77,72,89,81,Right
Virgil van Dijk,83,CB,27,193,92,3,73,70,60,67,83,85,Right
Marc Bartra Aregall,81,CB,27,184,73,3,77,74,52,70,82,71,Right
Jan Vertonghen,86,CB,31,189,88,3,69,71,66,74,87,83,Left
Kamil Glik,86,CB,30,190,80,3,58,56,33,46,88,86,Right
C?©sar Azpilicueta Tanco,86,CB,29,178,78,3,79,74,55,77,87,79,Right
Nicol?°s Otamendi,85,CB,30,183,81,3,63,58,58,61,85,82,Right
Medhi Benatia,85,CB,31,190,92,3,74,65,44,55,86,83,Right
Stefan de Vrij,84,CB,26,189,78,3,69,66,41,58,86,78,Right
Ra??l Albiol Tortajada,83,CB,33,190,82,3,57,61,41,58,85,78,Right
Marcos Aoas Corr?™a,84,CB,24,183,75,3,76,70,38,69,85,76,Right
Ronaldo Aparecido Rodrigues,84,CB,36,198,91,3,69,63,71,65,85,76,Right
H?©ctor Moreno,83,CB,30,183,80,3,69,67,57,70,85,79,Left
Danilo Lu??s H?©lio Pereira,85,CB,27,188,83,3,70,78,70,74,85,90,Right
Ra??l Albiol Tortajada,85,CB,33,190,82,3,60,64,45,62,88,80,Right
Jo?£o Miranda de Souza Filho,87,CB,34,186,78,3,72,69,52,61,90,79,Right
Kyle Walker,86,CB,28,183,83,3,91,78,65,77,84,84,Right
Ronaldo Aparecido Rodrigues,88,CB,36,198,91,3,74,70,79,73,91,83,Right
Branislav Ivanovic,82,CB,34,185,91,3,62,62,61,68,83,83,Right
Sebasti?°n Coates,84,CB,27,196,92,3,62,66,50,56,84,88,Right
Kalidou Koulibaly,87,CB,27,195,89,3,77,59,30,53,90,89,Right
Dante Bonfim Costa Santos,86,CB,34,188,85,3,56,70,58,74,89,84,Left
Nicol?°s Otamendi,93,CB,30,183,81,3,71,68,76,77,95,91,Right
Jan Vertonghen,92,CB,31,189,88,3,75,78,72,80,94,89,Left
C?©sar Azpilicueta Tanco,92,CB,29,178,78,3,87,85,70,90,93,90,Right
Diego God??n,94,CB,32,186,78,3,72,80,60,82,96,86,Right
Medhi Benatia,88,CB,31,190,92,3,78,71,50,63,90,87,Right
Ra??l Albiol Tortajada,86,CB,33,190,82,3,61,66,46,64,90,82,Right
Ronaldo Aparecido Rodrigues,93,CB,36,198,91,3,80,80,85,83,95,90,Right
Nicolas Nkoulou,84,CB,28,184,77,3,78,78,53,76,87,83,Right
Kamil Glik,94,CB,30,190,80,3,72,85,43,68,95,92,Right
Medhi Benatia,94,CB,31,190,92,3,84,82,60,78,95,92,Right
Kalidou Koulibaly,94,CB,27,195,89,3,83,75,50,70,95,94,Right
Stefan de Vrij,92,CB,26,189,78,3,77,82,68,77,94,88,Right
Marcos Aoas Corr?™a,92,CB,24,183,75,3,82,81,50,80,93,87,Right
Adil Rami,90,CB,32,190,90,3,68,70,64,60,91,92,Right
John Terry,94,CB,37,187,90,3,60,62,57,73,97,94,Right
Marcos Rojo,89,CB,28,187,80,3,78,80,75,80,89,90,Left
Diego God??n,96,CB,32,186,78,3,74,83,62,85,97,88,Right
Ezequiel Garay,90,CB,31,188,77,3,70,74,72,78,92,88,Right
Anderson Lu??s da Silva,89,CB,37,195,91,3,55,71,65,74,90,87,Right
Rapha?´l Varane,90,CB,25,191,78,3,85,80,60,75,92,86,Right
Sokratis Papastathopoulos,86,CB,30,186,85,3,78,61,52,55,87,84,Right
Stefan de Vrij,84,CB,26,189,78,3,69,66,41,58,86,78,Right
Benedikt H??wedes,83,CB,30,187,82,3,64,65,47,63,83,77,Right
Samuel Umtiti,91,CB,24,182,75,3,83,83,72,83,91,88,Left
Rapha?´l Varane,93,CB,25,191,78,3,88,85,65,80,95,89,Right
Adil Rami,91,CB,32,190,90,3,70,72,66,62,93,94,Right
Daley Blind,80,CB,28,180,72,3,60,76,56,79,80,76,Left
Rapha?´l Varane,85,CB,25,191,78,3,79,65,45,61,84,79,Right
Kostas Manolas,84,CB,27,189,83,3,80,61,19,42,86,83,Right
Kostas Manolas,92,CB,27,189,83,3,88,75,30,78,92,90,Right
Leonardo Bonucci,88,CB,31,190,85,3,68,71,54,70,87,81,Right
Nicolas Nkoulou,86,CB,28,184,77,3,80,81,56,79,89,85,Right
Paolo Maldini,94,CB,50,186,83,4,86,69,56,75,96,83,Right
Alessandro Nesta,92,CB,42,187,79,4,72,67,42,65,94,86,Right
Carles Puyol Saforcada,92,CB,40,178,80,4,70,58,45,68,94,90,Right
Paolo Maldini,92,CB,50,186,83,4,82,68,56,74,95,81,Right
Marcel Desailly,91,CB,50,185,81,4,83,67,52,66,90,90,Right
Laurent Blanc,91,CB,52,190,82,4,79,78,69,70,92,86,Right
Sergio Ramos Garc??a,90,CB,32,183,75,4,76,72,63,71,88,83,Right
Carles Puyol Saforcada,90,CB,40,178,80,4,72,58,45,66,92,91,Right
Alessandro Nesta,90,CB,42,187,78,4,71,66,41,62,91,85,Right
Giorgio Chiellini,89,CB,34,187,85,4,74,60,46,56,90,85,Left
Laurent Blanc,89,CB,52,190,82,4,79,79,68,70,90,85,Right
Thiago Emiliano da Silva,88,CB,34,183,79,4,72,74,56,73,88,79,Right
Mats Hummels,88,CB,29,191,92,4,64,72,58,75,89,76,Right
J?©r?¥me Boateng,88,CB,30,192,90,4,75,68,50,72,88,84,Right
Lothar Matth?§us,88,CB,57,174,71,4,82,77,82,87,90,80,Right
Alessandro Nesta,88,CB,42,187,80,4,70,65,40,63,90,85,Right
Frank Rijkaard,88,CB,56,187,85,4,78,78,73,79,88,85,Right
Gerard Piqu?© Bernabeu,87,CB,31,194,85,4,65,66,61,69,86,76,Right
Marcel Desailly,87,CB,50,185,79,4,84,61,47,61,85,87,Right
K?©pler Laveran Lima Ferreira,86,CB,35,188,81,4,68,61,50,57,86,80,Right
David Luiz Moreira Marinho,86,CB,31,189,84,4,70,71,64,74,84,81,Right
Vincent Kompany,85,CB,32,193,85,4,63,65,54,65,84,83,Right
Javier Mascherano,83,CB,34,174,73,4,65,70,53,71,82,77,Right
Vincent Kompany,90,CB,32,193,85,4,75,70,65,72,87,86,Right
Mats Hummels,90,CB,29,191,92,4,67,74,59,78,91,79,Right
Sergio Ramos Garc??a,97,CB,32,183,75,4,86,89,79,88,98,96,Right
J?©r?¥me Boateng,89,CB,30,192,90,4,76,69,51,75,90,86,Right
Mats Hummels,91,CB,29,191,92,4,68,75,60,80,93,82,Right
Vincent Kompany,86,CB,32,193,85,4,68,66,58,67,86,85,Right
Thiago Emiliano da Silva,89,CB,34,183,79,4,73,75,58,75,89,81,Right
Mats Hummels,89,CB,29,191,92,4,65,73,58,76,90,77,Right
Vincent Kompany,87,CB,32,193,85,4,69,67,59,73,88,86,Right
Giorgio Chiellini,94,CB,34,187,85,4,80,75,60,80,95,91,Left
Gerard Piqu?© Bernabeu,93,CB,31,194,85,4,72,80,74,85,94,86,Right
Sergio Ramos Garc??a,95,CB,32,183,75,4,83,85,75,85,96,94,Right
Mats Hummels,95,CB,29,191,92,4,75,84,71,90,97,93,Right
Thiago Emiliano da Silva,94,CB,34,183,79,4,80,85,70,84,96,88,Right
Thiago Emiliano da Silva,95,CB,34,183,79,4,82,87,73,88,97,90,Right
David Luiz Moreira Marinho,93,CB,31,189,84,4,80,83,74,86,93,90,Right
Vincent Kompany,95,CB,32,193,85,4,80,80,70,88,96,95,Right
K?©pler Laveran Lima Ferreira,87,CB,35,188,81,4,71,64,55,60,90,83,Right
Taras Stepanenko,80,CDM,29,181,75,1,67,70,61,71,79,80,Left
Guido Pizarro,78,CDM,28,186,74,1,60,70,62,71,74,84,Right
Alfred N'Diaye,78,CDM,28,187,82,1,72,67,54,64,76,86,Right
Soualiho Me?Øt?©,77,CDM,24,187,80,1,71,73,54,70,74,82,Right
Thomas Partey,77,CDM,25,185,75,1,76,72,60,68,73,83,Right
Alexander Mej??a,76,CDM,30,178,79,1,64,61,46,66,72,84,Right
Franco Mussis,76,CDM,26,174,75,1,77,70,60,70,71,83,Right
Jo?£o Maria Palhinha Gon?ßalves,76,CDM,23,190,82,1,55,67,49,62,74,84,Right
Papa Kouli Diop,76,CDM,32,179,77,1,57,68,66,68,73,85,Right
Dmitriy Tarasov,76,CDM,31,192,84,1,60,69,55,67,76,82,Right
Daniel Amartey,75,CDM,23,183,78,1,73,70,60,63,72,86,Right
Manuel Konrad,76,CDM,30,187,88,1,70,65,72,68,80,83,Right
Soualiho Me?Øt?©,77,CDM,24,187,80,1,71,73,54,70,74,82,Right
Papa Kouli Diop,76,CDM,32,179,77,1,57,68,66,68,73,85,Right
Luka Milivojevic,81,CDM,27,186,80,1,66,73,70,78,81,85,Right
Soualiho Me?Øt?©,81,CDM,24,187,80,1,73,80,58,80,80,85,Right
Frederico R. de Paula Santos,83,CDM,25,169,64,1,85,85,77,79,79,66,Left
Thiago Henrique Mendes Ribeiro,76,CDM,26,177,75,1,81,76,70,73,72,72,Right
Thomas Partey,79,CDM,25,185,75,1,77,76,66,72,76,83,Right
Marvelous Nakamba,76,CDM,24,177,71,1,72,70,51,61,75,83,Left
Fernando Lucas Martins,87,CDM,26,175,80,1,79,77,79,84,86,83,Right
Marvelous Nakamba,84,CDM,24,177,71,1,78,82,64,70,85,89,Left
Abdullah Ateef,86,CDM,26,177,68,1,63,78,75,87,84,83,Right
Thomas Partey,86,CDM,25,185,75,1,83,83,74,80,86,91,Right
Federico Viviani,81,CDM,26,180,75,1,81,80,74,85,70,77,Right
Onyinye Ndidi,86,CDM,21,187,80,1,83,78,71,76,86,89,Right
Aaron Mooy,90,CDM,28,174,78,1,82,89,89,91,81,89,Right
Guido Pizarro,78,CDM,28,186,74,1,60,70,62,71,74,84,Right
Soualiho Me?Øt?©,77,CDM,24,187,80,1,71,73,54,70,74,82,Right
Damir Kreilach,80,CDM,29,186,83,1,70,78,84,79,73,86,Right
Birger Verstraete,77,CDM,24,175,68,1,72,75,57,70,76,73,Right
Jo?£o Maria Palhinha Gon?ßalves,76,CDM,23,190,82,1,55,67,49,62,74,84,Right
Dominik Furman,77,CDM,26,181,71,1,73,72,67,79,70,69,Right
Erik Johansson,81,CDM,29,192,89,1,61,72,70,74,80,88,Right
Morgan Schneiderlin,83,CDM,28,181,75,2,68,77,62,76,79,81,Right
Steven N'Zonzi,83,CDM,29,190,75,2,57,71,67,73,80,88,Right
Idrissa Gueye,83,CDM,29,174,66,2,76,77,60,70,83,81,Right
Ljubomir Fejsa,82,CDM,30,183,80,2,53,68,57,66,81,85,Right
Jordan Henderson,82,CDM,28,182,67,2,72,76,70,82,76,81,Right
Victor Wanyama,82,CDM,27,184,87,2,64,74,66,70,82,91,Right
Vicente Iborra de la Fuente,82,CDM,30,195,88,2,50,69,73,73,83,83,Right
Ti?©mou?© Bakayoko,82,CDM,24,185,77,2,73,74,49,70,81,83,Right
Ignacio Camacho Barnola,81,CDM,28,183,75,2,61,70,60,71,80,81,Right
Mehmet Topal,80,CDM,32,187,82,2,68,74,66,67,82,80,Right
Atiba Hutchinson,80,CDM,35,187,83,2,69,75,65,75,77,79,Right
Josuha Guilavogui,80,CDM,28,188,77,2,70,68,59,66,81,81,Right
Pontus Wernbloom,79,CDM,32,187,85,2,56,67,67,67,80,85,Right
Oriol Romeu Vidal,79,CDM,27,183,83,2,57,63,38,65,78,85,Right
Leander Dendoncker,79,CDM,23,189,88,2,68,69,71,76,77,83,Right
William Vainqueur,79,CDM,29,179,73,2,70,72,57,69,75,82,Right
Josef de Souza Dias,78,CDM,29,188,80,2,70,72,68,71,77,82,Right
Julian Baumgartlinger,78,CDM,30,183,82,2,71,69,48,68,76,83,Right
Andreas Samaris,78,CDM,29,189,84,2,60,70,65,69,78,84,Right
Lucas Tousart,78,CDM,21,185,83,2,69,71,55,68,76,84,Right
Carlos S?°nchez,77,CDM,32,182,82,2,67,70,58,70,74,84,Left
Fernando Reges,77,CDM,31,183,76,2,64,68,61,66,78,82,Right
Cheikhou Kouyat?©,77,CDM,28,189,83,2,74,69,65,61,77,88,Right
Mirko Valdifiori,77,CDM,32,185,71,2,63,74,56,81,69,71,Right
Geoffrey Kondogbia,76,CDM,25,188,76,2,69,75,60,71,73,81,Left
Scott Brown,76,CDM,33,175,74,2,70,72,59,70,70,82,Right
Fabian Lustenberger,76,CDM,30,180,70,2,61,66,37,61,80,70,Right
Sven Bender,87,CDM,29,185,81,2,80,75,70,76,85,84,Right
Ti?©mou?© Bakayoko,82,CDM,24,185,77,2,73,74,49,70,81,83,Right
Corentin Tolisso,84,CDM,24,181,78,2,76,81,80,84,79,84,Right
Benjamin Andr?©,81,CDM,28,180,76,2,75,82,72,82,79,81,Right
Pedro Mba Obiang Avomo,81,CDM,26,185,75,2,72,80,72,82,79,81,Right
Francis Coquelin,79,CDM,27,178,74,2,66,75,52,67,78,80,Right
Carlos S?°nchez,77,CDM,32,182,82,2,67,70,58,70,74,84,Left
Emre Can,82,CDM,24,184,82,2,74,80,73,80,81,86,Right
Christoph Kramer,82,CDM,27,191,76,2,56,77,57,75,79,79,Right
Geoffrey Kondogbia,80,CDM,25,188,76,2,74,78,72,73,78,84,Left
Fernando Reges,79,CDM,31,183,76,2,64,72,61,70,80,82,Right
Wylan Cyprien,82,CDM,23,180,75,2,82,83,80,82,77,84,Right
Bibras Natcho,81,CDM,30,176,77,2,67,82,77,87,76,73,Right
Jordan Henderson,84,CDM,28,182,67,2,74,79,76,85,79,83,Right
Scott Brown,81,CDM,33,175,74,2,75,75,62,78,78,85,Right
Abdoulaye Doucour?©,87,CDM,25,182,69,2,72,86,87,83,84,87,Right
R??ben Diogo da Silva Neves,88,CDM,21,180,75,2,73,82,84,89,81,80,Right
Idrissa Gueye,85,CDM,29,174,66,2,77,79,67,74,86,83,Right
Matias Vecino,82,CDM,27,187,81,2,72,80,78,80,78,80,Right
James McCarthy,83,CDM,27,180,72,2,73,79,68,80,81,84,Right
Atiba Hutchinson,83,CDM,35,187,83,2,72,81,72,81,80,82,Right
Michael Bradley,90,CDM,31,188,79,2,80,90,88,90,86,93,Right
Haris Medunjanin,81,CDM,33,188,76,2,70,82,83,86,74,78,Left
Ti?©mou?© Bakayoko,82,CDM,24,185,77,2,73,74,49,70,81,83,Right
Ti?©mou?© Bakayoko,91,CDM,24,185,77,2,82,83,75,82,92,94,Right
Cheikhou Kouyat?©,77,CDM,28,189,83,2,74,69,65,61,77,88,Right
Ti?©mou?© Bakayoko,82,CDM,24,185,77,2,73,74,49,70,81,83,Right
Steven N'Zonzi,83,CDM,29,190,75,2,57,71,67,73,80,88,Right
Carlos S?°nchez,77,CDM,32,182,82,2,67,70,58,70,74,84,Left
N'Golo Kant?©,87,CDM,27,168,68,3,81,80,66,75,81,84,Right
